[ 2024-05-30 11:12:06,126 ] 35 root - ERROR - name 'logging' is not defined at Prediction_Pipeline.py file
[ 2024-05-30 11:12:36,613 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:12:36,614 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:12:36,614 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:12:36,620 ] 35 root - ERROR - could not convert string to float: '0 - Very Poor Condition' at Prediction_Pipeline.py file
[ 2024-05-30 11:16:24,237 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:16:24,238 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:16:24,239 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:16:24,326 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:16:59,904 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:16:59,905 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:16:59,906 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:16:59,909 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:17:07,406 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:17:07,407 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:17:07,407 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:17:07,411 ] 35 root - ERROR - could not convert string to float: '0 - Very Poor Condition' at Prediction_Pipeline.py file
[ 2024-05-30 11:17:59,407 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:17:59,407 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:17:59,408 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:17:59,411 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:18:05,024 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:18:05,025 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:18:05,025 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:18:05,028 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:25:23,914 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:25:23,915 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:25:23,916 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:25:23,921 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:30:53,802 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:30:53,802 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:30:53,803 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:30:53,806 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:30:53,844 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:30:53,845 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:30:53,847 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:30:53,851 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:38:54,787 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
[ 2024-05-30 11:38:54,788 ] 115 root - INFO - road_traffic_density() from Pipe class ran successfully
[ 2024-05-30 11:38:54,788 ] 137 root - INFO - Type_of_vehicle() from Pipe class ran successfully
[ 2024-05-30 11:38:54,792 ] 30 root - INFO - Prediction_Pipeline.py ran successfully
[ 2024-05-30 11:39:03,298 ] 94 root - INFO - frequency encoding() from Pipes class ran successfully
